Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Judy Phipps,F,B,Raw,69,65-69,,Open,68.1,75,,,,,,-25,27.5,-32.5,,27.5,,,,,,27.5,2,28.25,27.89,24.6,22.06,Yes,USA,PA,RAW,,6/20/2015,USA,PA,Fort Washington,American Challenge,Yes
LouAnn Petersen,F,BD,Raw,66,65-69,60-69,Masters 65-69,92.08,90+,,,,,,30,32.5,-37.5,,32.5,55,60,65,,65,97.5,1,86.06,83.48,72.4,,Yes,USA,FL,RAW,,12/28/2019,USA,FL,Mount Dora,Beasty Bash,Yes
Mary Carol McCaffrey,F,BD,Raw,69,65-69,70-999,Masters 65-69,75.75,82.5,,,,,,30,32.5,-35,,32.5,47.5,50,52.5,,52.5,85,1,82.36,80.31,70.61,,Yes,USA,FL,RAW,,12/28/2019,USA,FL,Mount Dora,Beasty Bash,Yes
Patricia Kroken,F,D,Raw,65,65-69,60-69,Masters 65-69,82.1,82.5,,,,,,,,,,,,,,,98,98,1,91.17,88.42,77.42,,Yes,USA,NM,RAW,,12/30/2012,USA,NM,Albuquerque,Year End Albuquerque Push/Pull,Yes
Mary-Ann Little,F,SBD,Raw,69,65-69,70-999,Masters 65-69,51.71,52,,,,,58,,,,,35,,,,,81,174,1,212.92,217.85,193.15,44.15,Yes,USA,PA,RAW,,4/12/2014,USA,PA,Erie,Great Lakes Open,Yes
Brittany Turner,F,SBD,Raw,68,65-69,60-69,Open,73.98,75,,,,,105,,,,,60,,,,,132.5,297.5,2,291.87,285.28,251.07,59.42,Yes,USA,VA,RAW,,3/17/2018,USA,VA,Vienna,Potomac Open,Yes
Diane Hiller,F,B,Raw,66,65-69,60-69,Masters 65-69,66.68,67.5,,,,,,,,,,42.5,,,,,,42.5,1,44.19,43.76,38.61,34.43,Yes,USA,NY,RAW,,1/27/2024,USA,NY,Owego,Owego Winter Classic,Yes
Karen Hansen,F,D,Raw,66.5,65-69,60-69,Masters 65-69,,90+,,,,,,,,,,,,,,,136,136,1,,,,,Yes,USA,VA,RAW,,3/14/2015,USA,VA,Zion Crossroads,United States Open,Yes
Sonya Jones,F,SBD,Raw,65,65-69,60-69,Masters 65-69,80.4,82.5,,,,,52,,,,,45,,,,,85,182,1,171.07,166.07,145.6,34.99,Yes,USA,VA,RAW,,2/24/2024,USA,VA,Ashland,Ironbuilt 804 Classic,Yes
Karen Hansen,F,SBD,Raw,69,65-69,,Open,87.2,90,52.5,60,65,,65,47.5,50,52.5,,52.5,115,122.5,127.5,,127.5,245,2,221.55,214.62,187.08,45.62,Yes,USA,,RAW,,7/8/2017,Ireland,,Ringaskiddy,European Powerlifting Championships,Yes
